pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
1,ALL1-2,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,123
2,ALL1-3,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,115
3,ALL1-4,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
4,ALL1-5,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
5,ALL1-6,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,8
6,ALL1-7,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,8
7,ALL1-8,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,6
8,ALL1-9,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,8
9,ALL2-1,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,8
10,ALL2-2,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
11,ALL2-3,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
12,ALL2-4,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,6
13,ALL2-5,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
14,ALL2-6,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana,,0
15,BUI,France,48.3667,0.933333,Valerie Le Corre,,,Arabidopsis thaliana,,53
16,CAM-1,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
17,CAM-10,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
18,CAM-11,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
19,CAM-12,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
20,CAM-13,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
21,CAM-14,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
22,CAM-15,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
23,CAM-16,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,122
24,CAM-17,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
25,CAM-18,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
26,CAM-19,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
27,CAM-20,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
28,CAM-21,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
29,CAM-22,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana,,0
