Case Daily Trends - United States
Date generated: Fri Apr 02 2021 05:13:27 GMT-0700 (Pacific Daylight Time)

Date,New Cases,7-Day Moving Avg
Mar 31 2021,64149,62167
Mar 30 2021,62726,62542
Mar 29 2021,60522,61998
Mar 28 2021,47151,61245
Mar 27 2021,62964,60084
Mar 26 2021,69037,59724
Mar 25 2021,68620,58706
Mar 24 2021,66778,57343
Mar 23 2021,58920,56126
Mar 22 2021,55247,55165
Mar 21 2021,39026,53848
Mar 20 2021,60444,54041
Mar 19 2021,61913,52940
Mar 18 2021,59074,53114
Mar 17 2021,58260,53440
Mar 16 2021,52192,53342
Mar 15 2021,46027,53334
Mar 14 2021,40380,52737
Mar 13 2021,52740,52923
Mar 12 2021,63131,53670
Mar 11 2021,61351,54206
Mar 10 2021,57577,55022
Mar 9 2021,52135,55839
Mar 8 2021,41848,56205
Mar 7 2021,41679,57279
Mar 6 2021,57972,58492
Mar 5 2021,66880,60201
Mar 4 2021,67063,61149
Mar 3 2021,63300,62188
Mar 2 2021,54693,63916
Mar 1 2021,49366,66184
Feb 28 2021,50176,67087
Feb 27 2021,69935,67606
Feb 26 2021,73510,67616
Feb 25 2021,74337,67572
Feb 24 2021,75401,66721
Feb 23 2021,70566,65897
Feb 22 2021,55686,64116
Feb 21 2021,53813,64171
Feb 20 2021,70002,65897
Feb 19 2021,73199,68597
Feb 18 2021,68385,72159
Feb 17 2021,69631,76994
Feb 16 2021,58098,80921
Feb 15 2021,56073,85746
Feb 14 2021,65897,90202
Feb 13 2021,88902,93705
Feb 12 2021,98127,96374
Feb 11 2021,102234,100425
Feb 10 2021,97122,104063
Feb 9 2021,91873,107372
Feb 8 2021,87263,111174
Feb 7 2021,90420,116770
Feb 6 2021,107582,119956
Feb 5 2021,126482,124763
Feb 4 2021,127702,130290
Feb 3 2021,120287,134815
Feb 2 2021,118484,140067
Feb 1 2021,126434,144566
Jan 31 2021,112724,145724
Jan 30 2021,141231,149627
Jan 29 2021,165168,153989
Jan 28 2021,159379,158013
Jan 27 2021,157049,162358
Jan 26 2021,149981,166850
Jan 25 2021,134538,166783
Jan 24 2021,140048,168825
Jan 23 2021,171761,175270
Jan 22 2021,193335,181407
Jan 21 2021,189794,189238
Jan 20 2021,188496,194380
Jan 19 2021,149515,199718
Jan 18 2021,148831,210074
Jan 17 2021,185161,217649
Jan 16 2021,214723,222621
Jan 15 2021,248148,227519
Jan 14 2021,225790,237093
Jan 13 2021,225864,245310
Jan 12 2021,222003,248929
Jan 11 2021,201857,250445
Jan 10 2021,219963,246934
Jan 9 2021,249013,244983
Jan 8 2021,315163,250223
Jan 7 2021,283313,229779
Jan 6 2021,251192,222633
Jan 5 2021,232619,220444
Jan 4 2021,177280,216430
Jan 3 2021,206303,216125
Jan 2 2021,285694,207694
Jan 1 2021,172055,192707
Dec 31 2020,233293,188418
Dec 30 2020,235867,182820
Dec 29 2020,204521,181901
Dec 28 2020,175145,181375
Dec 27 2020,147284,182769
Dec 26 2020,180790,190199
Dec 25 2020,142032,193143
Dec 24 2020,194101,206467
Dec 23 2020,229439,214553
Dec 22 2020,200835,216575
Dec 21 2020,184903,217458
Dec 20 2020,199294,220991
Dec 19 2020,201398,218335
Dec 18 2020,235301,220461
Dec 17 2020,250704,222405
Dec 16 2020,243596,216484
Dec 15 2020,207010,215541
Dec 14 2020,209636,217964
Dec 13 2020,180704,215330
Dec 12 2020,216280,214204
Dec 11 2020,248910,213108
Dec 10 2020,209252,209553
Dec 9 2020,236998,211203
Dec 8 2020,223973,206270
Dec 7 2020,191194,200432
Dec 6 2020,172822,195046
Dec 5 2020,208609,192540
Dec 4 2020,224024,183425
Dec 3 2020,220806,176093
Dec 2 2020,202465,165933
Dec 1 2020,183106,163760
Nov 30 2020,153493,161793
Nov 29 2020,155278,162685
Nov 28 2020,144809,162418
Nov 27 2020,172696,167775
Nov 26 2020,149687,171032
Nov 25 2020,187251,176612
Nov 24 2020,169338,173875
Nov 23 2020,159737,173516
Nov 22 2020,153408,172739
Nov 21 2020,182314,166007
Nov 20 2020,195495,168325
Nov 19 2020,188745,166153
Nov 18 2020,168092,162219
Nov 17 2020,166822,159330
Nov 16 2020,154302,155476
Nov 15 2020,106285,150981
Nov 14 2020,198537,151013
Nov 13 2020,180290,136994
Nov 12 2020,161206,130096
Nov 11 2020,147871,124439
Nov 10 2020,139846,119229
Nov 9 2020,122834,112504
Nov 8 2020,106512,107426
Nov 7 2020,100402,112275
Nov 6 2020,132006,110692
Nov 5 2020,121602,105845
Nov 4 2020,111401,101476
Nov 3 2020,92774,97579
Nov 2 2020,87289,94877
Nov 1 2020,140455,91887
Oct 31 2020,89321,80905
Oct 30 2020,98074,79802
Oct 29 2020,91019,77874
Oct 28 2020,84123,75664
Oct 27 2020,73858,72932
Oct 26 2020,66364,71140
Oct 25 2020,63579,70317
Oct 24 2020,81598,68218
Oct 23 2020,84581,64248
Oct 22 2020,75551,61965
Oct 21 2020,64999,60369
Oct 20 2020,61308,59368
Oct 19 2020,60606,57741
Oct 18 2020,48887,55991
Oct 17 2020,53810,55799
Oct 16 2020,68597,55317
Oct 15 2020,64380,53962
Oct 14 2020,57989,52783
Oct 13 2020,49921,52247
Oct 12 2020,48359,50925
Oct 11 2020,47542,49768
Oct 10 2020,50434,48167
Oct 9 2020,59115,47864
Oct 8 2020,56121,46668
Oct 7 2020,54243,45477
Oct 6 2020,40665,44381
Oct 5 2020,40262,44142
Oct 4 2020,36335,43526
Oct 3 2020,48309,43548
Oct 2 2020,50742,43737
Oct 1 2020,47788,43186
Sep 30 2020,46567,42536
Sep 29 2020,38997,41833
Sep 28 2020,35947,43200
Sep 27 2020,36486,43722
Sep 26 2020,49636,43901
Sep 25 2020,46882,42932
Sep 24 2020,43241,43269
Sep 23 2020,41648,43336
Sep 22 2020,48562,43498
Sep 21 2020,39601,41562
Sep 20 2020,37738,40836
Sep 19 2020,42856,40290
Sep 18 2020,49238,40069
Sep 17 2020,43711,39666
Sep 16 2020,42785,38938
Sep 15 2020,35009,37586
Sep 14 2020,34516,36038
Sep 13 2020,33918,34846
Sep 12 2020,41309,34881
Sep 11 2020,46414,35423
Sep 10 2020,38615,35974
Sep 9 2020,33322,36961
Sep 8 2020,24174,37999
Sep 7 2020,26171,40812
Sep 6 2020,34162,41752
Sep 5 2020,45108,42313
Sep 4 2020,50266,42154
Sep 3 2020,45529,41376
Sep 2 2020,40584,41726
Sep 1 2020,43869,42664
Aug 31 2020,32750,41821
Aug 30 2020,38089,41931
Aug 29 2020,43996,42046
Aug 28 2020,44818,42227
Aug 27 2020,47976,42607
Aug 26 2020,47150,42246
Aug 25 2020,37971,42186
Aug 24 2020,33517,42521
Aug 23 2020,38896,43301
Aug 22 2020,45263,43796
Aug 21 2020,47479,45179
Aug 20 2020,45447,46497
Aug 19 2020,46730,47661
Aug 18 2020,40316,49063
Aug 17 2020,38978,51350
Aug 16 2020,42360,51632
Aug 15 2020,54945,52457
Aug 14 2020,56705,52503
Aug 13 2020,53595,53311
Aug 12 2020,56546,53700
Aug 11 2020,56321,53317
Aug 10 2020,40952,52464
Aug 9 2020,48135,53780
Aug 8 2020,55272,53765
Aug 7 2020,62358,54244
Aug 6 2020,56321,55152
Aug 5 2020,53863,56798
Aug 4 2020,50351,58641
Aug 3 2020,50166,60068
Aug 2 2020,48024,60789
Aug 1 2020,58627,62727
Jul 31 2020,68718,63602
Jul 30 2020,67842,64514
Jul 29 2020,66761,65228
Jul 28 2020,60338,65781
Jul 27 2020,55213,66234
Jul 26 2020,61596,66737
Jul 25 2020,64750,66913
Jul 24 2020,75100,67305
Jul 23 2020,72841,67337
Jul 22 2020,70635,67293
Jul 21 2020,63509,66836
Jul 20 2020,58728,66499
Jul 19 2020,62833,66612
Jul 18 2020,67495,66286
Jul 17 2020,75319,65611
Jul 16 2020,72533,64355
Jul 15 2020,67435,62470
Jul 14 2020,61154,62132
Jul 13 2020,59521,60565
Jul 12 2020,60548,58736
Jul 11 2020,62771,56423
Jul 10 2020,66527,54882
Jul 9 2020,59336,53574
Jul 8 2020,65068,52725
Jul 7 2020,50188,51231
Jul 6 2020,46716,50313
Jul 5 2020,44359,48776
Jul 4 2020,51984,48334
Jul 3 2020,57373,47280
Jul 2 2020,53393,45465
Jul 1 2020,54610,43659
Jun 30 2020,43756,41314
Jun 29 2020,35961,39925
Jun 28 2020,41267,38644
Jun 27 2020,44604,36686
Jun 26 2020,44670,34921
Jun 25 2020,40745,33193
Jun 24 2020,38200,31354
Jun 23 2020,34030,29202
Jun 22 2020,26992,28424
Jun 21 2020,27563,27231
Jun 20 2020,32250,26444
Jun 19 2020,32573,25474
Jun 18 2020,27872,24063
Jun 17 2020,23137,23206
Jun 16 2020,28581,22831
Jun 15 2020,18643,21251
Jun 14 2020,22052,21117
Jun 13 2020,25466,20528
Jun 12 2020,22693,21043
Jun 11 2020,21875,21962
Jun 10 2020,20512,21773
Jun 9 2020,17516,20956
Jun 8 2020,17711,22025
Jun 7 2020,17929,21648
Jun 6 2020,29067,22822
Jun 5 2020,29130,22069
Jun 4 2020,20549,20522
Jun 3 2020,14795,20639
Jun 2 2020,25000,21341
Jun 1 2020,15067,20134
May 31 2020,26146,21549
May 30 2020,23797,19996
May 29 2020,18306,20389
May 28 2020,21364,21250
May 27 2020,19713,21139
May 26 2020,16545,21572
May 25 2020,24975,22572
May 24 2020,15277,22539
May 23 2020,26547,22278
May 22 2020,24330,23062
May 21 2020,20592,22856
May 20 2020,22739,23782
May 19 2020,23546,23518
May 18 2020,24746,23235
May 17 2020,13451,22214
May 16 2020,32030,23742
May 15 2020,22894,23027
May 14 2020,27071,23378
May 13 2020,20894,23947
May 12 2020,21564,24255
May 11 2020,17595,24394
May 10 2020,24148,24608
May 9 2020,27026,25438
May 8 2020,25349,25784
May 7 2020,31058,26396
May 6 2020,23051,26480
May 5 2020,22536,26852
May 4 2020,19094,27023
May 3 2020,29955,27678
May 2 2020,29447,27438
May 1 2020,29637,28070
Apr 30 2020,31643,28111
Apr 29 2020,25655,28921
Apr 28 2020,23731,29051
Apr 27 2020,23680,29405
Apr 26 2020,28276,30235
Apr 25 2020,33869,29723
Apr 24 2020,29929,29149
Apr 23 2020,37308,29127
Apr 22 2020,26564,27948
Apr 21 2020,26211,28040
Apr 20 2020,29489,28006
Apr 19 2020,24696,27318
Apr 18 2020,29847,27873
Apr 17 2020,29776,28278
Apr 16 2020,29056,28908
Apr 15 2020,27207,29288
Apr 14 2020,25971,29917
Apr 13 2020,24674,29359
Apr 12 2020,28584,31915
Apr 11 2020,32682,31537
Apr 10 2020,34184,31234
Apr 9 2020,31720,31356
Apr 8 2020,31610,30551
Apr 7 2020,22060,29939
Apr 6 2020,42568,30034
Apr 5 2020,25941,27115
Apr 4 2020,30561,25999
Apr 3 2020,35038,24377
Apr 2 2020,26081,21966
Apr 1 2020,27325,20665
Mar 31 2020,22728,18753
Mar 30 2020,22132,16962
Mar 29 2020,18132,15349
Mar 28 2020,19208,14021
Mar 27 2020,18161,12110
Mar 26 2020,16972,10024
Mar 25 2020,13943,8283
Mar 24 2020,10190,6781
Mar 23 2020,10842,5725
Mar 22 2020,8831,4286
Mar 21 2020,5834,3197
Mar 20 2020,3558,2417
Mar 19 2020,4788,1951
Mar 18 2020,3425,1329
Mar 17 2020,2802,881
Mar 16 2020,770,524
Mar 15 2020,1203,445
Mar 14 2020,373,295
Mar 13 2020,302,251
Mar 12 2020,431,215
Mar 11 2020,289,162
Mar 10 2020,303,124
Mar 9 2020,218,84
Mar 8 2020,150,57
Mar 7 2020,64,36
Mar 6 2020,52,28
Mar 5 2020,63,21
Mar 4 2020,22,12
Mar 3 2020,24,9
Mar 2 2020,25,6
Mar 1 2020,6,2
Feb 29 2020,10,1
Feb 28 2020,0,0
Feb 27 2020,1,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,2,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,1,0
Feb 12 2020,0,0
Feb 11 2020,1,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,3,0
Feb 2 2020,0,0
Feb 1 2020,1,0
Jan 31 2020,2,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,3,0
Jan 25 2020,0,0
Jan 24 2020,1,0
Jan 23 2020,0,0
Jan 22 2020,1,0
