State Name,Submission Date,7-day Avg Cases,7-day average New Cases per 100K,7-day Avg Deaths,7-day average New Deaths per 100K,Total Cases,Total cases per 100k,Total Deaths,Total Deaths per 100k
Arizona,2020-01-22,0,0,0,0,0,0,0,0
Arizona,2020-01-23,0,0,0,0,0,0,0,0
Arizona,2020-01-24,0,0,0,0,0,0,0,0
Arizona,2020-01-25,0,0,0,0,0,0,0,0
Arizona,2020-01-26,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-01-27,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-01-28,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-01-29,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-01-30,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-01-31,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-02-01,0,0.002,0,0,1,0.0137,0,0
Arizona,2020-02-02,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-03,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-04,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-05,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-06,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-07,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-08,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-09,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-10,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-11,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-12,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-13,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-14,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-15,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-16,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-17,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-18,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-19,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-20,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-21,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-22,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-23,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-24,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-25,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-26,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-27,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-28,0,0,0,0,1,0.0137,0,0
Arizona,2020-02-29,0,0,0,0,1,0.0137,0,0
Arizona,2020-03-01,0,0,0,0,1,0.0137,0,0
Arizona,2020-03-02,0,0,0,0,1,0.0137,0,0
Arizona,2020-03-03,0,0.002,0,0,2,0.0275,0,0
Arizona,2020-03-04,0,0.002,0,0,2,0.0275,0,0
Arizona,2020-03-05,0,0.0039,0,0,3,0.0412,0,0
Arizona,2020-03-06,0,0.0039,0,0,3,0.0412,0,0
Arizona,2020-03-07,0,0.0079,0,0,5,0.0687,0,0
Arizona,2020-03-08,0,0.0079,0,0,5,0.0687,0,0
Arizona,2020-03-09,0,0.0098,0,0,6,0.0824,0,0
Arizona,2020-03-10,0,0.0118,0,0,8,0.1099,0,0
Arizona,2020-03-11,1,0.0137,0,0,9,0.1236,0,0
Arizona,2020-03-12,0,0.0118,0,0,9,0.1236,0,0
Arizona,2020-03-13,1,0.0137,0,0,10,0.1374,0,0
Arizona,2020-03-14,1,0.0137,0,0,12,0.1649,0,0
Arizona,2020-03-15,1,0.0157,0,0,13,0.1786,0,0
Arizona,2020-03-16,1,0.0236,0,0,18,0.2473,0,0
Arizona,2020-03-17,1,0.0196,0,0,18,0.2473,0,0
Arizona,2020-03-18,2,0.0353,0,0,27,0.3709,0,0
Arizona,2020-03-19,5,0.0687,0,0,44,0.6045,0,0
Arizona,2020-03-20,7,0.104,0,0.002,63,0.8655,1,0.0137
Arizona,2020-03-21,13,0.1806,0,0.002,104,1.4288,1,0.0137
Arizona,2020-03-22,19,0.2728,0,0.0039,152,2.0883,2,0.0275
Arizona,2020-03-23,33,0.4612,0,0.0039,253,3.4759,2,0.0275
Arizona,2020-03-24,44,0.6045,0,0.0098,326,4.4788,5,0.0687
Arizona,2020-03-25,53,0.734,0,0.0118,401,5.5092,6,0.0824
Arizona,2020-03-26,66,0.9107,1,0.0157,508,6.9793,8,0.1099
Arizona,2020-03-27,86,1.1815,1,0.0236,665,9.1362,13,0.1786
Arizona,2020-03-28,95,1.313,2,0.0275,773,10.62,15,0.2061
Arizona,2020-03-29,109,1.5054,2,0.0294,919,12.6259,17,0.2336
Arizona,2020-03-30,129,1.7743,2,0.0353,1157,15.8957,20,0.2748
Arizona,2020-03-31,137,1.8901,2,0.0373,1289,17.7092,24,0.3297
Arizona,2020-04-01,144,1.9862,3,0.0451,1413,19.4128,29,0.3984
Arizona,2020-04-02,155,2.1393,3,0.0471,1598,21.9544,32,0.4396
Arizona,2020-04-03,157,2.1668,4,0.055,1769,24.3037,41,0.5633
Arizona,2020-04-04,178,2.4455,5,0.0726,2019,27.7384,52,0.7144
Arizona,2020-04-05,192,2.6496,6,0.0922,2269,31.1731,64,0.8793
Arizona,2020-04-06,185,2.5495,6,0.0883,2456,33.7422,65,0.893
Arizona,2020-04-07,183,2.524,7,0.0962,2575,35.3771,73,1.0029
Arizona,2020-04-08,187,2.577,7,0.1001,2726,37.4517,80,1.0991
